timestamp,loop,phase,fc,addr,name,op,raw,decoded,expected,result,latency_ms,note
2026-07-16T10:29:28.602,1,READ,3,0,Device Type,read,40,40 = DELIVERY,,OK,27.0,
2026-07-16T10:29:28.653,1,READ,3,1,Firmware Version,read,13076,13076  (dd/mm/y = 13/07/*6),,OK,25.6,
2026-07-16T10:29:28.715,1,READ,3,2,Hardware Version,read,500,500  (R5.0),,OK,36.1,
2026-07-16T10:29:28.763,1,READ,3,3,Baud Rate,read,9600,9600 bps,,OK,23.1,
2026-07-16T10:29:28.811,1,READ,3,4,Slave ID,read,21,21,,OK,23.1,
2026-07-16T10:29:28.859,1,READ,3,20,Room Temp,read,2360,23.60 C  (raw 2360),,OK,23.0,
2026-07-16T10:29:28.922,1,READ,3,21,Board Temp,read,0,0.00 C  (raw 0),,OK,37.0,
2026-07-16T10:29:28.970,1,READ,3,40,Time After Unlock,read,14,14 s,,OK,22.9,
2026-07-16T10:29:29.019,1,READ,3,60,Display Number,read,0,0,,OK,23.3,
2026-07-16T10:29:29.068,1,READ,3,80,Unlock Delay,read,0,0 ms,,OK,23.3,
2026-07-16T10:29:29.130,1,READ,3,110,LED Brightness,read,80,80 %,,OK,37.6,
2026-07-16T10:29:29.179,1,READ,3,111,LED Red,read,255,255,,OK,23.2,
2026-07-16T10:29:29.227,1,READ,3,112,LED Green,read,0,0,,OK,22.9,
2026-07-16T10:29:29.276,1,READ,3,113,LED Blue,read,0,0,,OK,23.1,
2026-07-16T10:29:29.339,1,READ,3,114,LED Max On-Time,read,3600,3600 s,,OK,37.9,
2026-07-16T10:29:29.387,1,READ,3,190,Global Brightness,read,0,0 %,,OK,23.4,
2026-07-16T10:29:29.450,1,READ,3,194,Global Max On-Time,read,0,0 s,,OK,36.7,
2026-07-16T10:29:29.499,1,READ,3,200,Total LED On Count,read,0,0,,OK,23.7,
2026-07-16T10:29:29.547,1,READ,3,201,Total LED On Time,read,0,0 s,,OK,22.8,
2026-07-16T10:29:29.595,1,READ,3,210,LED 1 On Count,read,0,0,,OK,23.3,
2026-07-16T10:29:29.658,1,READ,3,211,LED 1 On Time,read,0,0 s,,OK,37.0,
2026-07-16T10:29:29.707,1,READ,1,500,Factory Reset (arm),read,0,coil=0,,OK,23.8,
2026-07-16T10:29:29.756,1,READ,1,501,Apply Reset (keep ID),read,0,coil=0,,OK,23.2,
2026-07-16T10:29:29.805,1,READ,1,502,Apply Reset (all data),read,0,coil=0,,OK,23.4,
2026-07-16T10:29:29.867,1,READ,1,503,Write to EEPROM (+reboot),read,0,coil=0,,OK,37.4,
2026-07-16T10:29:29.915,1,READ,1,504,Software Reset,read,0,coil=0,,OK,22.4,
2026-07-16T10:29:29.964,1,READ,1,1001,LED 1 Enable,read,0,coil=0,,OK,23.8,
2026-07-16T10:29:30.026,1,READ,1,1010,Display Enable (stub),read,0,coil=0,,OK,36.3,
2026-07-16T10:29:30.074,1,READ,1,1011,LED 1 + Display (stub),read,0,coil=0,,OK,22.7,
2026-07-16T10:29:30.123,1,READ,1,1019,Latch Force Trigger,read,0,coil=0,,OK,23.1,
2026-07-16T10:29:30.171,1,READ,1,1020,Latch Trigger (Safety),read,0,coil=0,,OK,23.0,
2026-07-16T10:29:30.219,1,READ,1,1021,LED 1 + Latch,read,0,coil=0,,OK,22.7,
2026-07-16T10:29:30.554,1,WRITE,3,60,Display Number,verify,1234,echo,1234,OK,23.3,
2026-07-16T10:29:30.682,1,WRITE,3,80,Unlock Delay,verify,250,echo,250,OK,36.1,
2026-07-16T10:29:30.810,1,WRITE,3,110,LED Brightness,verify,50,echo,50,OK,35.9,
2026-07-16T10:29:30.907,1,WRITE,3,111,LED Red,verify,11,echo,11,OK,23.0,
2026-07-16T10:29:31.036,1,WRITE,3,112,LED Green,verify,22,echo,22,OK,36.7,
2026-07-16T10:29:31.146,1,WRITE,3,113,LED Blue,verify,33,echo,33,OK,22.8,
2026-07-16T10:29:31.242,1,WRITE,3,114,LED Max On-Time,verify,1800,echo,1800,OK,23.1,
2026-07-16T10:29:31.370,1,WRITE,3,110,Global Brightness,verify,45,echo -> reg 110,45,OK,36.4,
2026-07-16T10:29:31.498,1,WRITE,3,114,Global Max On-Time,verify,2400,echo -> reg 114,2400,OK,36.3,
2026-07-16T10:29:32.060,1,WRITE,1,1001,LED 1 Enable,coil-verify,1,coil=1,1,OK,22.7,
2026-07-16T10:29:32.233,1,WRITE,1,1010,Display Enable (stub),coil-verify,1,coil=1,1,OK,36.0,
2026-07-16T10:29:32.395,1,WRITE,1,1011,LED 1 + Display (stub),coil-verify,1,coil=1,1,OK,24.1,
2026-07-16T10:29:32.588,1,LATCH,1,1020,Safety Trigger,fire,0,cleared 32ms; accepted; no pulse (sense not locked / no latch wired),self-clear,OK,35.7,reg40 17->17
2026-07-16T10:29:35.401,1,LATCH,1,1019,Force Trigger,fire,0,cleared 511ms; pulsed (sense locked),self-clear,OK,32.2,reg40 20->20
