timestamp,loop,phase,fc,addr,name,op,raw,decoded,expected,result,latency_ms,note
2026-07-16T13:38:35.633,1,READ,3,250,Preset 5 On Count,read,0,0,,OK,36.3,
2026-07-16T13:38:35.681,1,READ,3,251,Preset 5 On Time,read,0,0 s,,OK,22.8,
2026-07-16T13:38:35.730,1,READ,3,260,Preset 6 On Count,read,0,0,,OK,23.0,
2026-07-16T13:38:35.781,1,READ,3,261,Preset 6 On Time,read,0,0 s,,OK,24.9,
2026-07-16T13:38:35.842,1,READ,3,270,Preset 7 On Count,read,0,0,,OK,36.3,
2026-07-16T13:38:35.908,1,READ,3,271,Preset 7 On Time,read,0,0 s,,OK,40.2,
2026-07-16T13:38:35.973,1,READ,3,280,Preset 8 On Count,read,0,0,,OK,39.2,
2026-07-16T13:38:36.035,1,READ,3,281,Preset 8 On Time,read,0,0 s,,OK,36.2,
2026-07-16T13:38:36.083,1,READ,1,500,Factory Reset (arm),read,0,coil=0,,OK,22.8,
2026-07-16T13:38:36.145,1,READ,1,501,Apply Reset (keep ID),read,0,coil=0,,OK,36.5,
2026-07-16T13:38:36.193,1,READ,1,502,Apply Reset (all data),read,0,coil=0,,OK,22.7,
2026-07-16T13:38:36.241,1,READ,1,503,Write to EEPROM (+reboot),read,0,coil=0,,OK,22.7,
2026-07-16T13:38:36.290,1,READ,1,504,Software Reset,read,0,coil=0,,OK,22.5,
2026-07-16T13:38:36.338,1,READ,1,1001,Enable Preset 1,read,0,coil=0,,OK,23.1,
2026-07-16T13:38:36.387,1,READ,1,1002,Enable Preset 2,read,0,coil=0,,OK,23.1,
2026-07-16T13:38:36.436,1,READ,1,1003,Enable Preset 3,read,0,coil=0,,OK,23.1,
2026-07-16T13:38:36.498,1,READ,1,1004,Enable Preset 4,read,0,coil=0,,OK,36.8,
2026-07-16T13:38:36.546,1,READ,1,1005,Enable Preset 5,read,0,coil=0,,OK,22.6,
2026-07-16T13:38:36.594,1,READ,1,1006,Enable Preset 6,read,0,coil=0,,OK,22.4,
2026-07-16T13:38:36.642,1,READ,1,1007,Enable Preset 7,read,0,coil=0,,OK,22.8,
2026-07-16T13:38:36.691,1,READ,1,1008,Enable Preset 8,read,0,coil=0,,OK,23.4,
2026-07-16T13:38:36.739,1,READ,1,1010,Display Enable,read,0,coil=0,,OK,22.7,
2026-07-16T13:38:36.787,1,READ,1,1011,Preset 1 + Display,read,0,coil=0,,OK,22.9,
2026-07-16T13:38:36.850,1,READ,1,1012,Preset 2 + Display,read,0,coil=0,,OK,37.4,
2026-07-16T13:38:36.899,1,READ,1,1013,Preset 3 + Display,read,0,coil=0,,OK,23.0,
2026-07-16T13:38:36.947,1,READ,1,1014,Preset 4 + Display,read,0,coil=0,,OK,23.2,
2026-07-16T13:38:37.009,1,READ,1,1015,Preset 5 + Display,read,0,coil=0,,OK,36.6,
2026-07-16T13:38:37.057,1,READ,1,1016,Preset 6 + Display,read,0,coil=0,,OK,22.9,
2026-07-16T13:38:37.106,1,READ,1,1017,Preset 7 + Display,read,0,coil=0,,OK,23.0,
2026-07-16T13:38:37.154,1,READ,1,1018,Preset 8 + Display,read,0,coil=0,,OK,23.2,
2026-07-16T13:38:37.203,1,READ,1,1019,Latch Force Trigger,read,0,coil=0,,OK,23.2,
2026-07-16T13:38:37.265,1,READ,1,1020,Latch Trigger (Safety),read,0,coil=0,,OK,36.4,
2026-07-16T13:38:37.314,1,READ,1,1021,Preset 1 + Latch,read,0,coil=0,,OK,23.1,
2026-07-16T13:38:37.362,1,READ,1,1022,Preset 2 + Latch,read,0,coil=0,,OK,22.8,
2026-07-16T13:38:37.411,1,READ,1,1023,Preset 3 + Latch,read,0,coil=0,,OK,23.0,
2026-07-16T13:38:37.472,1,READ,1,1024,Preset 4 + Latch,read,0,coil=0,,OK,35.8,
2026-07-16T13:38:37.522,1,READ,1,1025,Preset 5 + Latch,read,0,coil=0,,OK,23.9,
2026-07-16T13:38:37.570,1,READ,1,1026,Preset 6 + Latch,read,0,coil=0,,OK,22.5,
2026-07-16T13:38:37.619,1,READ,1,1027,Preset 7 + Latch,read,0,coil=0,,OK,23.0,
2026-07-16T13:38:37.667,1,READ,1,1028,Preset 8 + Latch,read,0,coil=0,,OK,22.6,
2026-07-16T13:38:37.715,1,READ,1,1031,Preset 1 + Latch + Display,read,0,coil=0,,OK,23.0,
