Timestamp,Cycle,SubCycle,Row,Col,Unit_ID,LED,Action,Status,Value,Response_ms,Details
2026-04-20 10:59:33.601,0,0,,,,,CONNECT,OK,,,192.168.6.133
2026-04-20 10:59:33.602,1,0,,,,,CYCLE_START,INFO,,,
2026-04-20 10:59:33.603,1,0,,,,,PHASE_1.1_START,INFO,,,
2026-04-20 10:59:33.637,1,1,1,1,11,1,WRITE_RGB,OK,"(0,63,255)",33.8,
2026-04-20 10:59:33.715,1,1,1,1,11,1,LED_LATCH_ON,OK,1021,26.3,
2026-04-20 10:59:33.794,1,1,1,1,11,1,READ_LATCH,OK,45,27.5,
2026-04-20 10:59:34.444,1,2,1,2,12,8,WRITE_RGB,OK,"(255,0,95)",45.1,
2026-04-20 10:59:34.566,1,2,1,2,12,8,LED_LATCH_ON,OK,1028,66.7,
2026-04-20 10:59:34.645,1,2,1,2,12,8,READ_LATCH,OK,45,27.4,
2026-04-20 10:59:35.297,1,3,1,3,13,3,WRITE_RGB,OK,"(127,0,255)",50.0,
2026-04-20 10:59:35.417,1,3,1,3,13,3,LED_LATCH_ON,OK,1023,68.7,
2026-04-20 10:59:35.497,1,3,1,3,13,3,READ_LATCH,OK,46,28.7,
2026-04-20 10:59:36.148,1,4,1,4,14,8,WRITE_RGB,OK,"(31,255,0)",48.2,
2026-04-20 10:59:36.269,1,4,1,4,14,8,LED_LATCH_ON,OK,1028,66.5,
2026-04-20 10:59:36.351,1,4,1,4,14,8,READ_LATCH,OK,47,29.1,
2026-04-20 10:59:36.998,1,5,1,5,15,6,WRITE_RGB,OK,"(31,0,255)",44.4,
2026-04-20 10:59:37.080,1,5,1,5,15,6,LED_LATCH_ON,OK,1026,30.1,
2026-04-20 10:59:37.160,1,5,1,5,15,6,READ_LATCH,OK,48,28.5,
2026-04-20 10:59:37.810,1,6,1,6,16,6,WRITE_RGB,OK,"(255,0,0)",42.3,
2026-04-20 10:59:37.932,1,6,1,6,16,6,LED_LATCH_ON,OK,1026,43.3,
2026-04-20 10:59:38.051,1,6,1,6,16,6,READ_LATCH,OK,49,66.7,
2026-04-20 10:59:38.709,1,7,1,7,17,3,WRITE_RGB,OK,"(0,159,255)",55.0,
2026-04-20 10:59:38.826,1,7,1,7,17,3,LED_LATCH_ON,OK,1023,62.6,
2026-04-20 10:59:38.946,1,7,1,7,17,3,READ_LATCH,OK,50,64.6,
2026-04-20 10:59:39.597,1,8,1,8,18,1,WRITE_RGB,OK,"(223,255,0)",49.0,
2026-04-20 10:59:39.678,1,8,1,8,18,1,LED_LATCH_ON,OK,1021,28.5,
2026-04-20 10:59:39.757,1,8,1,8,18,1,READ_LATCH,OK,51,28.8,
2026-04-20 10:59:49.755,1,9,2,1,21,6,WRITE_RGB,OK,"(0,255,255)",9194.8,
2026-04-20 10:59:49.863,1,9,2,1,21,6,LED_LATCH_ON,OK,1026,57.0,
2026-04-20 10:59:49.942,1,9,2,1,21,6,READ_LATCH,OK,61,27.0,
2026-04-20 10:59:50.595,1,10,2,2,22,7,WRITE_RGB,OK,"(0,255,159)",52.6,
2026-04-20 10:59:50.676,1,10,2,2,22,7,LED_LATCH_ON,OK,1027,29.4,
2026-04-20 10:59:50.755,1,10,2,2,22,7,READ_LATCH,OK,61,26.9,
2026-04-20 10:59:51.410,1,11,2,3,23,4,WRITE_RGB,OK,"(255,191,0)",52.9,
2026-04-20 10:59:51.530,1,11,2,3,23,4,LED_LATCH_ON,OK,1024,69.0,
